Latitudes,Longitudes,Address
19.18465681,72.8513483,"Pt Solicitor Road, Malad, Malad East, Mumbai, Maharashtra 400097, India"
19.27967249,72.83340868,"Unnamed Road, Uttan, Mira Bhayandar, Maharashtra 400068, India"
19.03719473,73.01301207,"Bhagat School, Dharshana Society, Nerul West, Nerul, Navi Mumbai, Maharashtra 400706, India"
19.07557698,73.01421706,"Unnamed Road, APMC Fruits and Vegetable Market, Sector 19, Turbhe, Navi Mumbai, Maharashtra 400703, India"
19.02340383,73.01903229,"Darave Railway Station, Seawoods East, Nerul East, Sector 28, Nerul, Navi Mumbai, Maharashtra 400706, India"
19.06276909,73.07156738,"6, Sector 29, Kharghar, Navi Mumbai, Maharashtra 410210, India"
19.16047674,72.99673174,"A-47, Arun Kumar Vidhya Marg, Sector 3, Airoli, Navi Mumbai, Maharashtra 400708, India"
19.10832306,73.00572619,"76, Sector 1, Kopar Khairane, Navi Mumbai, Maharashtra 400709, India"
19.20537528,73.08913954,"131 Swanand CHS Ajanta Soc, Nandivali Rd, Sunil Nagar, Dombivli East, Dombivli, Maharashtra 421201, India"
19.20118386,73.10997728,"41-Bunglow, Dnyaneshwar Soc, Regency Estate Rd, Dawadi Gaon, Sonar Pada, Dombivli East, Dombivli, Maharashtra 421306, India"
19.25083038,73.12408268,"Adharwadi Rd, Kalyan West, Kalyan, Maharashtra 421301, India"
19.23856917,73.14161059,"Old Suchak Niwas, Kalyan-Murbad Rd, Syndicate, Kalyan, Maharashtra 421301, India"
19.27911518,73.05879805,"Enclave 1507 Varaladevi lake, Kamatghar, Bhiwandi, Maharashtra 421302, India"
19.29585391,73.03977918,"Talati Office, Kariwali, Bhiwandi, Maharashtra 421302, India"
19.24376403,73.01842444,"MH SH 35, Rajlaxmi Complex, Kalher, Bhiwandi, Maharashtra 421302, India"
19.30302464,73.19844324,"Balaji Colony, Chawl No. 08 Room No. 06 Vasundri Road Nr. Gajanan transport & saptshringi material supplier., 03, Vasundri Rd, Panchshil Nagar, Titwala, Maharashtra 421605, India"
19.28054595,73.22283424,"BHAGAT,. NIVAS 9769268256/9270489423, Ghotsai, Maharashtra 421605, India"
19.16948795,73.23154204,"Ganesh Mandir Rd, Katrap, Badlapur, Maharashtra 421503, India"
19.15737302,73.24144106,"Priya Enterprises, A 24, MIDC Badlapur, Maharashtra Industrial Development Corporation, Badlapur, Maharashtra 421503, India"
19.00113363,73.10684681,"NH 48, Sector 16, Khanda Colony, Panvel, Navi Mumbai, Maharashtra 410206, India"
18.99820224,73.12171362,"Rd Number 1, Sector-1, New Panvel East, Panvel, Navi Mumbai, Maharashtra 410206, India"
19.05801377,72.92107835,"90-91, Govandi Slums, Bhim Nagar, Govandi East, Mumbai, Maharashtra 400043, India"
19.06118717,72.9273745,"37, Rd Number 12, Govandi Slums, Govandi West, Baiganwadi, Govandi East, Mumbai, Maharashtra 400043, India"
19.11790259,72.86293276,"Mahakali Caves Rd, Shanti Nagar, Andheri East, Mumbai, Maharashtra 400053, India"
